L Option,R Option,Counter,Outcome Class,LGF Winner,RGF Winner
1,1,1,N,L,R
1,1,2,R,R,R
1,1,3,R,R,R
1,1,4,R,R,R
1,1,5,R,R,R
1,1,6,R,R,R
1,1,7,R,R,R
1,1,8,R,R,R
1,1,9,R,R,R
1,1,10,R,R,R
1,1,11,R,R,R
1,1,12,R,R,R
1,1,13,R,R,R
1,1,14,R,R,R
1,1,15,R,R,R
1,1,16,R,R,R
1,1,17,R,R,R
1,1,18,R,R,R
1,1,19,R,R,R
1,1,20,R,R,R
1,1,21,R,R,R
1,1,22,R,R,R
1,1,23,R,R,R
1,1,24,R,R,R
1,1,25,R,R,R
1,1,26,R,R,R
1,1,27,R,R,R
1,1,28,R,R,R
1,1,29,R,R,R
1,1,30,R,R,R
1,1,31,R,R,R
1,1,32,R,R,R
1,1,33,R,R,R
1,1,34,R,R,R
1,1,35,R,R,R
1,1,36,R,R,R
1,1,37,R,R,R
1,1,38,R,R,R
1,1,39,R,R,R
1,1,40,R,R,R
1,1,41,R,R,R
1,1,42,R,R,R
1,1,43,R,R,R
1,1,44,R,R,R
1,1,45,R,R,R
1,1,46,R,R,R
1,1,47,R,R,R
1,1,48,R,R,R
1,1,49,R,R,R
1,1,50,R,R,R
1,1,51,R,R,R
1,1,52,R,R,R
1,1,53,R,R,R
1,1,54,R,R,R
1,1,55,R,R,R
1,1,56,R,R,R
1,1,57,R,R,R
1,1,58,R,R,R
1,1,59,R,R,R
1,1,60,R,R,R
1,1,61,R,R,R
1,1,62,R,R,R
1,1,63,R,R,R
1,1,64,R,R,R
1,1,65,R,R,R
1,1,66,R,R,R
1,1,67,R,R,R
1,1,68,R,R,R
1,1,69,R,R,R
1,1,70,R,R,R
1,1,71,R,R,R
1,1,72,R,R,R
1,1,73,R,R,R
1,1,74,R,R,R
1,1,75,R,R,R
1,1,76,R,R,R
1,1,77,R,R,R
1,1,78,R,R,R
1,1,79,R,R,R
1,1,80,R,R,R
1,1,81,R,R,R
1,1,82,R,R,R
1,1,83,R,R,R
1,1,84,R,R,R
1,1,85,R,R,R
1,1,86,R,R,R
1,1,87,R,R,R
1,1,88,R,R,R
1,1,89,R,R,R
1,1,90,R,R,R
1,1,91,R,R,R
1,1,92,R,R,R
1,1,93,R,R,R
1,1,94,R,R,R
1,1,95,R,R,R
1,1,96,R,R,R
1,1,97,R,R,R
1,1,98,R,R,R
1,1,99,R,R,R
1,1,100,R,R,R
1,2,1,L,L,L
1,2,2,N,L,R
1,2,3,P,R,L
1,2,4,P,R,L
1,2,5,N,L,R
1,2,6,R,R,R
1,2,7,R,R,R
1,2,8,R,R,R
1,2,9,R,R,R
1,2,10,R,R,R
1,2,11,R,R,R
1,2,12,R,R,R
1,2,13,R,R,R
1,2,14,R,R,R
1,2,15,R,R,R
1,2,16,R,R,R
1,2,17,R,R,R
1,2,18,R,R,R
1,2,19,R,R,R
1,2,20,R,R,R
1,2,21,R,R,R
1,2,22,R,R,R
1,2,23,R,R,R
1,2,24,R,R,R
1,2,25,R,R,R
1,2,26,R,R,R
1,2,27,R,R,R
1,2,28,R,R,R
1,2,29,R,R,R
1,2,30,R,R,R
1,2,31,R,R,R
1,2,32,R,R,R
1,2,33,R,R,R
1,2,34,R,R,R
1,2,35,R,R,R
1,2,36,R,R,R
1,2,37,R,R,R
1,2,38,R,R,R
1,2,39,R,R,R
1,2,40,R,R,R
1,2,41,R,R,R
1,2,42,R,R,R
1,2,43,R,R,R
1,2,44,R,R,R
1,2,45,R,R,R
1,2,46,R,R,R
1,2,47,R,R,R
1,2,48,R,R,R
1,2,49,R,R,R
1,2,50,R,R,R
1,2,51,R,R,R
1,2,52,R,R,R
1,2,53,R,R,R
1,2,54,R,R,R
1,2,55,R,R,R
1,2,56,R,R,R
1,2,57,R,R,R
1,2,58,R,R,R
1,2,59,R,R,R
1,2,60,R,R,R
1,2,61,R,R,R
1,2,62,R,R,R
1,2,63,R,R,R
1,2,64,R,R,R
1,2,65,R,R,R
1,2,66,R,R,R
1,2,67,R,R,R
1,2,68,R,R,R
1,2,69,R,R,R
1,2,70,R,R,R
1,2,71,R,R,R
1,2,72,R,R,R
1,2,73,R,R,R
1,2,74,R,R,R
1,2,75,R,R,R
1,2,76,R,R,R
1,2,77,R,R,R
